max,celsius,mo,da,state,stn,name
132.8,56,6,26,ME,720472,STEVEN A BEAN MUNI
129,53.88888889,8,7,TX,722595,FORT WORTH NAVAL AIR STATION
126,52.22222222,7,30,VA,724035,QUANTICO MCAF
124.7,51.5,5,5,WY,720977,ALPHA (BURNS)
122.4,50.22222222,7,12,CA,999999,STOVEPIPE WELLS 1 SW
116.8,47.11111111,7,22,NV,746140,NELLIS AFB AIRPORT
116.6,47,7,17,AZ,723788,LAUGHLIN/BULLHEAD INTERNATION
115,46.11111111,7,19,OK,723520,ALTUS AFB AIRPORT
114.8,46,8,1,MS,720769,GEORGE M BRYAN AIRPORT
114.1,45.61111111,7,30,OR,725970,ROGUE VALLEY INTL-MEDFORD AIR
111.9,44.38888889,7,19,KS,724520,MEDICINE LODGE
111.9,44.38888889,6,11,NM,723676,TUCUMCARI MUNICIPAL ARPT
111.9,44.38888889,7,30,WA,727845,TRI-CITIES AIRPORT
111,43.88888889,8,2,SD,726518,WINNER REGIONAL AIRPORT
111,43.88888889,7,19,NE,725636,CHADRON MUNICIPAL AIRPORT
111,43.88888889,9,7,UT,724754,ST GEORGE MUNICIPAL ARPT
109.9,43.27777778,7,23,CO,724636,LAMAR MUNICIPAL AIRPORT
109.4,43,7,20,GA,720348,BALDWIN COUNTY AIRPORT
109,42.77777778,9,19,FL,747931,WINTER HAVEN'S GILBERT APT
108,42.22222222,7,29,ID,725784,ELK CITY
108,42.22222222,7,17,MT,727680,WOKAL FIELD/GLASGOW INTL AIRP
108,42.22222222,7,20,AR,723440,FORT SMITH REGIONAL AIRPORT
107.6,42,7,5,IA,725484,LE MARS MUNICIPAL AIRPORT
107.1,41.72222222,7,26,MO,723495,JOPLIN REGIONAL AIRPORT
105.1,40.61111111,7,21,LA,722480,SHREVEPORT REGIONAL AIRPORT
105.1,40.61111111,6,23,AL,722275,ANDALUSIA-OPP MUNICIPAL AIRPO
102.9,39.38888889,8,4,ND,727640,BISMARCK MUNICIPAL AIRPORT
102.9,39.38888889,7,8,TN,723340,MEMPHIS INTERNATIONAL AIRPORT
102.9,39.38888889,6,13,SC,723100,COLUMBIA METROPOLITAN AIRPORT
102.2,39,6,19,MN,722129,MOORHEAD MUNICIPAL AIRPORT
102.2,39,7,24,MD,720699,CARROLL CO RGNL/JJACK B POAGE
102.2,39,6,20,WI,726418,L.O. SIMENSTAD MUNICIPAL AIRP
102.2,39,7,28,NC,723193,SMITH REYNOLDS AIRPORT
102,38.88888889,7,24,NJ,725020,NEWARK LIBERTY INTERNATIONAL
102,38.88888889,8,27,HI,911975,KONA INTL AT KEAHOLE ARPT
100.9,38.27777778,7,8,KY,746710,CAMPBELL AAF AIRPORT
100.9,38.27777778,7,24,PA,997286,PHILADELPHIA
100.9,38.27777778,7,24,IL,725314,ST LOUIS DOWNTOWN AIRPORT
100.9,38.27777778,7,5,IN,724373,TER HUTE INTL-HULMAN FD AP
100,37.77777778,6,21,OH,725360,TOLEDO EXPRESS AIRPORT
100,37.77777778,7,24,MA,725098,NORWOOD MEMORIAL AIRPORT
100,37.77777778,8,4,NH,726056,SKYHAVEN AIRPORT
99,37.22222222,8,5,NY,725036,DUTCHESS COUNTY AIRPORT
99,37.22222222,8,10,CT,725087,HARTFORD-BRAINARD AIRPORT
99,37.22222222,8,4,MI,725376,WILLOW RUN AIRPORT
98.1,36.72222222,7,25,RI,725070,THEODORE F GREEN STATE AIRPOR
97.2,36.22222222,8,4,DE,724088,DOVER AFB AIRPORT
96.1,35.61111111,6,23,WV,724175,HARRISON/MARION RGNL ARPT
95.7,35.38888889,6,17,DC,997314,WASHINGTON
95,35,7,20,VT,726166,W. H. MORSE STATE AIRPORT
95,35,9,1,VI,785510,HENRY E ROHLSEN AIRPORT
93.9,34.38888889,6,4,PR,785260,LUIS MUNOZ MARIN INTERNATIONA
88,31.11111111,7,2,AK,701975,EAGLE AIRPORT
